(['DAI75645', 'GRO73461'], 'DAI62779', 0.367)
(['DAI62779', 'GRO21487'], 'GRO73461', 0.367)
(['DAI55148', 'ELE17451'], 'SNA80324', 0.367)
(['DAI62779', 'GRO15017'], 'ELE92920', 0.366)
(['DAI88807', 'SNA59903'], 'ELE17451', 0.366)
(['DAI62779', 'GRO59710'], 'DAI43223', 0.365)
(['ELE17451', 'FRO80039'], 'DAI62779', 0.365)
(['DAI31081', 'FRO40251'], 'GRO85051', 0.364)
(['DAI55148', 'SNA80324'], 'FRO40251', 0.363)
(['DAI85309', 'FRO40251'], 'DAI75645', 0.363)
(['DAI75645', 'ELE26917'], 'DAI62779', 0.363)
(['DAI62779', 'ELE32164'], 'GRO59710', 0.362)
(['ELE17451', 'SNA59903'], 'SNA72163', 0.362)
(['DAI42493', 'DAI62779'], 'ELE92920', 0.362)
(['DAI42493', 'DAI62779'], 'ELE17451', 0.362)
(['GRO38814', 'GRO73461'], 'DAI62779', 0.361)
(['DAI88807', 'ELE17451'], 'SNA72163', 0.361)
(['DAI55148', 'DAI62779'], 'FRO40251', 0.359)
(['DAI62779', 'FRO85978'], 'SNA93860', 0.359)
(['DAI55148', 'FRO40251'], 'SNA80324', 0.359)
(['DAI62779', 'SNA38068'], 'ELE17451', 0.359)
(['DAI31081', 'ELE32164'], 'GRO59710', 0.359)
(['FRO40251', 'GRO38814'], 'GRO73461', 0.359)
(['FRO40251', 'GRO38814'], 'SNA80324', 0.359)
(['FRO40251', 'GRO73461'], 'DAI62779', 0.357)
(['DAI55148', 'DAI62779'], 'SNA80324', 0.357)
(['ELE17451', 'ELE92920'], 'DAI85309', 0.357)
(['DAI62779', 'FRO40251'], 'GRO85051', 0.356)
(['DAI88807', 'SNA72163'], 'SNA59903', 0.355)
(['DAI55148', 'DAI75645'], 'ELE17451', 0.355)
(['DAI62779', 'SNA59903'], 'SNA72163', 0.354)
(['FRO40251', 'GRO71621'], 'DAI62779', 0.354)
(['ELE20847', 'FRO40251'], 'DAI75645', 0.353)
(['DAI42493', 'DAI62779'], 'SNA18336', 0.353)
(['GRO73461', 'SNA80324'], 'DAI62779', 0.352)
(['GRO73461', 'SNA45677'], 'DAI62779', 0.352)
(['DAI88807', 'GRO73461'], 'SNA72163', 0.351)
(['DAI55148', 'FRO40251'], 'ELE17451', 0.35)
(['DAI55148', 'FRO40251'], 'DAI75645', 0.35)
(['DAI55148', 'ELE17451'], 'DAI75645', 0.348)
(['GRO46854', 'GRO73461'], 'DAI62779', 0.347)
(['GRO69543', 'GRO73461'], 'FRO40251', 0.347)
(['FRO40251', 'SNA45677'], 'GRO85051', 0.346)
(['DAI62779', 'ELE32164'], 'DAI43223', 0.345)
(['DAI55148', 'SNA80324'], 'DAI75645', 0.345)
(['ELE17451', 'SNA59903'], 'DAI88807', 0.342)
(['ELE20847', 'FRO40251'], 'DAI62779', 0.341)
(['FRO40251', 'FRO53271'], 'GRO85051', 0.34)
(['DAI22896', 'DAI62779'], 'GRO73461', 0.34)
(['DAI62779', 'GRO81087'], 'ELE92920', 0.338)
(['FRO92469', 'SNA80324'], 'DAI75645', 0.338)
(['FRO40251', 'SNA80324'], 'DAI62779', 0.337)
(['DAI62779', 'FRO85978'], 'ELE59028', 0.336)
(['GRO85051', 'SNA80324'], 'ELE17451', 0.335)
(['FRO40251', 'SNA80324'], 'GRO85051', 0.334)
(['DAI62779', 'ELE32164'], 'ELE17451', 0.333)
(['FRO40251', 'GRO73461'], 'DAI75645', 0.332)
(['DAI88079', 'FRO40251'], 'DAI75645', 0.332)
(['DAI22896', 'GRO73461'], 'DAI62779', 0.332)
(['ELE32164', 'GRO59710'], 'DAI62779', 0.33)
(['DAI55148', 'SNA80324'], 'ELE17451', 0.33)
(['DAI75645', 'FRO40251'], 'DAI62779', 0.329)
(['FRO92469', 'SNA80324'], 'DAI62779', 0.327)
(['FRO40251', 'GRO85051'], 'DAI75645', 0.326)
(['DAI75645', 'GRO73461'], 'SNA80324', 0.323)
(['DAI88079', 'FRO40251'], 'GRO73461', 0.323)
(['ELE20847', 'FRO40251'], 'GRO85051', 0.32)
(['FRO40251', 'GRO21487'], 'GRO85051', 0.32)
(['DAI85309', 'GRO46854'], 'DAI62779', 0.318)
(['GRO56726', 'GRO73461'], 'FRO40251', 0.318)
(['DAI75645', 'FRO40251'], 'GRO85051', 0.315)
(['ELE32164', 'GRO59710'], 'DAI43223', 0.315)
(['FRO40251', 'GRO21487'], 'SNA80324', 0.315)
(['ELE26917', 'FRO40251'], 'DAI62779', 0.315)
(['FRO40251', 'GRO85051'], 'DAI62779', 0.314)
(['DAI88079', 'FRO40251'], 'SNA80324', 0.312)
(['ELE17451', 'FRO40251'], 'GRO85051', 0.311)
(['DAI55148', 'DAI62779'], 'DAI75645', 0.31)
(['DAI62779', 'SNA99873'], 'ELE17451', 0.31)
(['DAI62779', 'DAI91290'], 'ELE17451', 0.309)
(['DAI62779', 'GRO30386'], 'ELE17451', 0.307)
(['DAI62779', 'FRO19221'], 'GRO73461', 0.307)
(['DAI55148', 'FRO40251'], 'FRO92469', 0.306)
(['DAI43223', 'GRO59710'], 'ELE17451', 0.305)
(['ELE92920', 'SNA18336'], 'DAI85309', 0.305)
(['FRO40251', 'FRO92469'], 'DAI75645', 0.301)
(['DAI62779', 'ELE56788'], 'ELE17451', 0.301)
(['DAI62779', 'SNA18336'], 'DAI85309', 0.298)
(['DAI62779', 'DAI85309'], 'ELE99737', 0.296)
(['DAI62779', 'DAI75645'], 'GRO73461', 0.296)
(['ELE17451', 'FRO31317'], 'DAI62779', 0.295)
(['DAI62779', 'FRO40251'], 'GRO73461', 0.294)
(['DAI62779', 'GRO46854'], 'GRO73461', 0.293)
(['DAI62779', 'SNA93860'], 'FRO85978', 0.291)
(['DAI43223', 'ELE32164'], 'ELE17451', 0.29)
(['GRO21487', 'GRO73461'], 'FRO40251', 0.288)
(['DAI62779', 'SNA93860'], 'SNA53220', 0.287)
(['FRO40251', 'FRO92469'], 'DAI62779', 0.285)
(['DAI55148', 'DAI62779'], 'ELE17451', 0.285)
(['FRO40251', 'GRO21487'], 'DAI75645', 0.285)
(['DAI85309', 'ELE17451'], 'ELE92920', 0.284)
(['DAI62779', 'FRO19221'], 'SNA53220', 0.284)
(['DAI62779', 'GRO15017'], 'ELE17451', 0.284)
(['DAI31081', 'DAI62779'], 'ELE17451', 0.283)
(['ELE32164', 'GRO73461'], 'GRO59710', 0.282)
(['DAI62779', 'FRO31317'], 'ELE17451', 0.282)
(['ELE20847', 'FRO40251'], 'FRO92469', 0.281)
(['DAI88807', 'SNA72163'], 'GRO73461', 0.279)
(['DAI62779', 'GRO73461'], 'FRO40251', 0.277)
(['DAI88079', 'FRO40251'], 'ELE17451', 0.276)
(['GRO21487', 'GRO73461'], 'DAI62779', 0.274)
(['ELE17451', 'GRO73461'], 'FRO40251', 0.274)
(['GRO46854', 'GRO73461'], 'FRO40251', 0.272)
(['DAI62779', 'FRO19221'], 'SNA93860', 0.271)
(['GRO30386', 'GRO73461'], 'ELE17451', 0.271)
(['ELE32164', 'GRO73461'], 'DAI62779', 0.27)
(['DAI62779', 'GRO15017'], 'SNA18336', 0.269)
(['DAI62779', 'GRO71621'], 'ELE17451', 0.267)
(['DAI88807', 'SNA72163'], 'ELE17451', 0.266)
(['DAI75645', 'SNA80324'], 'ELE17451', 0.265)
(['ELE17451', 'SNA80324'], 'GRO85051', 0.265)
(['DAI62779', 'SNA55762'], 'ELE17451', 0.265)
(['DAI88807', 'SNA72163'], 'DAI62779', 0.264)
(['FRO40251', 'GRO73461'], 'SNA80324', 0.263)
(['DAI62779', 'ELE17451'], 'SNA80324', 0.262)
(['DAI62779', 'GRO30386'], 'GRO73461', 0.262)
(['DAI62779', 'SNA45677'], 'ELE17451', 0.262)
(['DAI88079', 'FRO40251'], 'DAI62779', 0.262)
(['DAI62779', 'SNA96271'], 'SNA45677', 0.26)
(['GRO46854', 'GRO73461'], 'DAI75645', 0.26)
(['DAI62779', 'ELE74009'], 'ELE17451', 0.259)
(['DAI62779', 'SNA96271'], 'GRO73461', 0.258)
(['DAI62779', 'GRO71621'], 'GRO73461', 0.257)
(['DAI62779', 'SNA93860'], 'ELE59028', 0.257)
(['DAI62779', 'ELE17451'], 'FRO40251', 0.255)
(['FRO40251', 'FRO92469'], 'GRO73461', 0.253)
(['DAI62779', 'SNA90094'], 'ELE17451', 0.252)
(['DAI62779', 'DAI83733'], 'ELE17451', 0.251)
(['DAI62779', 'FRO78087'], 'ELE17451', 0.251)
